,0,1
0,,Surpreender e ser surpreendido é o segredo do amor.
1,,Faça pequenas coisas agora e maiores coisas lhe serão confiadas cada dia.
2,,Todo mundo é capaz de denominar uma dor... exceto quem a sente.
3,,A paciência na adversidade é o sinal de um coração sensível.
4,,A sorte favorece a mente bem preparada.
5,,Sua visão se tornará clara apenas quando você puder olhar dentro de seu coração.
6,,Quem olha para fora sonha; quem olha para dentro acorda.
7,,As pessoas se esquecerão do que você disse e do que você fez… mas nunca se esquecerão de como você as fez sentir.
8,,Espere pelo mais sábio dos conselhos: o tempo.
9,,Todas as coisas são difíceis antes de se tornarem fáceis.
10,,Você pode encontrar a si mesmo fazendo ou dizendo coisas que você nunca imaginou possíveis.
11,,Se você se sente só é porque construiu muros ao invés de pontes.
12,,Vencer é 90 por cento suor e 40 por cento técnica.
13,,O amor está mais próximo do que você imagina.
14,,A vida coloca em nossa frente opções.
15,,Você é do tamanho do seu sonho.
16,,Pare de procurar eternamente; a felicidade está bem ao seu lado.
17,,Conhecimento é a única virtude e ignorância é o único vício.
18,,O nosso primeiro e último amor é… o amor-próprio.
19,,Deixe de lado as preocupações e seja feliz.
20,,A vontade das pessoas é a melhor das leis.
21,,Nós somos o que pensamos.
22,,A maior barreira para o sucesso é o medo do fracasso.
23,,O pessimista vê a dificuldade em cada oportunidade; O otimista vê a oportunidade em cada dificuldade.
24,,Muitas das grandes realizações do mundo foram feitas por homens cansados e desanimados que continuaram trabalhando.
25,,O insucesso é apenas uma oportunidade para recomeçar de novo com mais inteligência.
26,,O futuro pertence àqueles que acreditam na beleza de seus sonhos.
27,,Coragem é a resistência ao medo... domínio do medo... e não a ausência do medo.
28,,O verdadeiro homem mede a sua força... quando se defronta com o obstáculo.
29,,Você precisa fazer aquilo que pensa que não é capaz de fazer.
30,,Quem quer vencer um obstáculo deve armar-se da força do leão e da prudência da serpente.
31,,A adversidade desperta em nós capacidades que... em circunstâncias favoráveis... teriam ficado adormecidas.
32,,A vida é para quem topa qualquer parada. Não para quem pára em qualquer topada.
33,,Motivação não é sinônimo de transformação... mas um passo em sua direção.
34,,O que empobrece o ser humano... não é a falta de dinheiro... mais sim... a falta de fé...motivação e criatividade.
35,,Inspiração vem dos outros. Motivação vem de dentro de nós.
36,,Não acredite mais em pessoas especiais... mas em momentos especiais com pessoas habituais.
37,,“A nossa vida tem 4 sentidos…amar... sofrer... lutar e vencer. Ame muito... sofra pouco...lute bastante e vença sempre!”
38,,Nada é por acaso…Acredite em seus sonhos e nos seus potenciais….Na vida tudo se supera..
39,,Acredite em milagres... mas não dependa deles.
40,,Você sempre será a sua melhor companhia!
41,,Realize o óbvio... pense no improvável e conquiste o impossível Latumia.
42,,A vida trará coisas boas se tiveres paciência.
43,,Demonstre amor e alegria em todas as oportunidades e verás que a paz nasce dentro de você.
44,,Não compense na ira o que lhe falta na razão.
45,,Defeitos e virtudes são apenas dois lados da mesma moeda.
46,,A maior de todas as torres começa no solo.
47,,Não há que ser forte. Há que ser flexível.
48,,Gente todo dia arruma os cabelos... por que não o coração?
49,,Há três coisas que jamais voltam; a flecha lançada... a palavra dita e a oportunidade perdida.
50,,A juventude não é uma época da vida... é um estado de espírito.
51,,Podemos escolher o que semear... mas somos obrigados a colher o que plantamos.
52,,Dê toda a atenção para a formação dos teus filhos... sobretudo por exemplos de tua própria vida.
53,,Siga os bons e aprenda com eles.
54,,Não importa o tamanho da montanha... ela não pode tapar o sol.
55,,O bom-senso vai mais longe do que muito conhecimento.
56,,Quem quer colher rosas deve suportar os espinhos.
57,,São os nossos amigos que nos ensinam as mais valiosas lições.
58,,Uma iniciativa mal-sucedida não significa o final de tudo. Sempre existe uma nova oportunidade.
59,,Aquele que se importa com o sentimento dos outros... não é um tolo.
60,,A adversidade é um espelho que reflete o verdadeiro eu.
61,,Lamentar aquilo que não temos é desperdiçar aquilo que já possuímos.
62,,Uma bela flor é incompleta sem suas folhas.
63,,Sem o fogo do entusiasmo... não há o calor da vitória.
64,,Não há melhor negócio que a vida. A gente há obtém a troco de nada.
65,,O riso é a menor distância entre duas pessoas.
66,,Você é jovem apenas uma vez. Depois precisa inventar outra desculpa.
67,,É mais fácil conseguir o perdão do que a permissão.
68,,Os defeitos são mais fortes quando o amor é fraco.
69,,Amizade e Amor são coisas que podem virar uma só num piscar de olhos.

70,,Surpreender e ser surpreendido é o segredo do amor.
71,,Faça pequenas coisas agora e maiores coisas lhe serão confiadas cada dia.
72,,Todo mundo é capaz de denominar uma dor... exceto quem a sente.
73,,A paciência na adversidade é o sinal de um coração sensível.
74,,A sorte favorece a mente bem preparada.
75,,Sua visão se tornará clara apenas quando você puder olhar dentro de seu coração.
76,,Quem olha para fora sonha; quem olha para dentro acorda.
77,,As pessoas se esquecerão do que você disse e do que você fez… mas nunca se esquecerão de como você as fez sentir.
